template,angle,n,any_primary_pct,REP_pct,CN_pct,EMPTY_pct,LOW_DIV_pct,OFFTOPIC_pct
similar_feeling_en,baseline,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,0,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,15,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,30,150,0.67,0.67,0.00,0.00,0.00,0.00
similar_feeling_en,45,150,0.67,0.67,0.00,0.00,0.00,0.00
similar_feeling_en,60,150,0.67,0.67,0.00,0.00,0.67,0.00
similar_feeling_en,75,150,3.33,2.67,0.67,0.00,1.33,0.00
similar_feeling_en,90,150,4.67,4.00,0.67,0.00,4.67,0.00
similar_feeling_en,105,150,10.00,9.33,0.67,0.00,12.00,0.00
similar_feeling_en,120,150,10.67,10.00,0.67,0.00,12.00,0.00
similar_feeling_en,135,150,11.33,9.33,2.67,0.00,10.00,0.00
similar_feeling_en,150,150,20.67,16.67,4.00,0.00,17.33,0.00
similar_feeling_en,165,150,16.67,13.33,4.00,0.00,9.33,0.00
similar_feeling_en,180,150,23.33,19.33,0.00,0.00,16.00,0.00
similar_feeling_en,195,150,11.33,10.00,0.00,0.00,2.67,0.00
similar_feeling_en,210,150,4.67,3.33,1.33,0.00,0.67,0.00
similar_feeling_en,225,150,2.00,1.33,0.67,0.00,0.67,0.00
similar_feeling_en,240,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,255,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,270,150,2.00,0.00,2.00,0.00,0.00,0.00
similar_feeling_en,285,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,300,150,0.67,0.67,0.00,0.00,0.00,0.00
similar_feeling_en,315,150,1.33,0.67,0.67,0.00,0.00,0.00
similar_feeling_en,330,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,345,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_mood_en,baseline,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_mood_en,0,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_mood_en,15,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_mood_en,30,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_mood_en,45,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_mood_en,60,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_mood_en,75,150,3.33,2.67,0.67,0.00,4.00,0.00
similar_mood_en,90,150,6.00,5.33,0.67,0.00,6.00,0.00
similar_mood_en,105,150,6.00,6.00,0.00,0.00,6.00,0.00
similar_mood_en,120,150,8.00,8.00,0.00,0.00,7.33,0.00
similar_mood_en,135,150,4.67,4.00,0.67,0.00,3.33,0.00
similar_mood_en,150,150,20.67,19.33,3.33,0.00,18.67,0.00
similar_mood_en,165,150,20.00,16.67,4.67,0.00,10.00,0.00
similar_mood_en,180,150,24.00,22.67,0.67,0.00,12.00,0.00
similar_mood_en,195,150,13.33,12.00,0.00,0.00,2.67,0.00
similar_mood_en,210,150,2.67,2.00,0.00,0.00,0.67,0.00
similar_mood_en,225,150,1.33,1.33,0.00,0.00,0.00,0.00
similar_mood_en,240,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_mood_en,255,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_mood_en,270,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_mood_en,285,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_mood_en,300,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_mood_en,315,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_mood_en,330,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_mood_en,345,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_emotion_en,baseline,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_emotion_en,0,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_emotion_en,15,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_emotion_en,30,150,1.33,0.67,0.67,0.00,0.00,0.00
similar_emotion_en,45,150,1.33,0.67,0.67,0.00,0.00,0.00
similar_emotion_en,60,150,0.67,0.00,0.67,0.00,0.67,0.00
similar_emotion_en,75,150,4.67,4.67,0.00,0.00,3.33,0.00
similar_emotion_en,90,150,2.67,2.67,0.00,0.00,2.00,0.00
similar_emotion_en,105,150,6.00,6.00,0.00,0.00,7.33,0.00
similar_emotion_en,120,150,10.00,9.33,0.67,0.00,11.33,0.00
similar_emotion_en,135,150,13.33,9.33,4.67,0.00,6.67,0.00
similar_emotion_en,150,150,18.67,17.33,2.00,0.00,16.67,0.00
similar_emotion_en,165,150,14.00,10.00,4.00,0.00,8.67,0.00
similar_emotion_en,180,150,13.33,11.33,2.00,0.00,4.00,0.00
similar_emotion_en,195,150,6.00,5.33,0.00,0.00,1.33,0.00
similar_emotion_en,210,150,1.33,1.33,0.00,0.00,1.33,0.00
similar_emotion_en,225,150,1.33,1.33,0.00,0.00,0.00,0.00
similar_emotion_en,240,150,2.00,0.00,2.00,0.00,0.00,0.00
similar_emotion_en,255,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_emotion_en,270,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_emotion_en,285,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_emotion_en,300,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_emotion_en,315,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_emotion_en,330,150,0.67,0.67,0.00,0.00,0.00,0.00
similar_emotion_en,345,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_reaction_en,baseline,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_reaction_en,0,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_reaction_en,15,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_reaction_en,30,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_reaction_en,45,150,1.33,1.33,0.00,0.00,0.67,0.00
similar_reaction_en,60,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_reaction_en,75,150,2.67,2.00,0.67,0.00,0.67,0.00
similar_reaction_en,90,150,2.67,2.00,0.67,0.00,3.33,0.00
similar_reaction_en,105,150,5.33,5.33,0.00,0.00,3.33,0.00
similar_reaction_en,120,150,3.33,3.33,0.00,0.00,2.67,0.00
