template,angle,n,any_primary_pct,REP_pct,CN_pct,EMPTY_pct,LOW_DIV_pct,OFFTOPIC_pct
similar_tweet_en,baseline,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,0,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_tweet_en,15,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,30,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,45,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,60,150,0.00,0.00,0.00,0.00,0.67,0.00
similar_tweet_en,75,150,2.67,2.67,0.00,0.00,0.67,0.00
similar_tweet_en,90,150,4.00,3.33,0.67,0.00,4.00,0.00
similar_tweet_en,105,150,10.00,9.33,0.00,0.00,12.67,0.00
similar_tweet_en,120,150,16.67,15.33,1.33,0.00,16.00,0.00
similar_tweet_en,135,150,26.00,16.67,12.00,0.00,14.67,0.00
similar_tweet_en,150,150,20.00,16.67,3.33,0.00,16.00,0.00
similar_tweet_en,165,150,20.00,12.67,8.00,0.00,8.67,0.00
similar_tweet_en,180,150,21.33,19.33,0.67,0.00,9.33,0.00
similar_tweet_en,195,150,13.33,13.33,0.00,0.00,4.00,0.00
similar_tweet_en,210,150,1.33,0.67,0.00,0.00,0.67,0.00
similar_tweet_en,225,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,240,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_tweet_en,255,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,270,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,285,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_tweet_en,300,150,1.33,0.67,0.67,0.00,0.00,0.00
similar_tweet_en,315,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,330,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,345,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_single_en,baseline,150,0.67,0.00,0.67,0.00,0.00,0.00
echo_single_en,0,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_single_en,15,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_single_en,30,150,0.00,0.00,0.00,0.00,0.67,0.00
echo_single_en,45,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_single_en,60,150,0.00,0.00,0.00,0.00,0.67,0.00
echo_single_en,75,150,0.67,0.67,0.00,0.00,0.00,0.00
echo_single_en,90,150,0.67,0.67,0.00,0.00,0.00,0.00
echo_single_en,105,150,0.67,0.67,0.00,0.00,2.00,0.00
echo_single_en,120,150,6.67,6.67,0.00,0.00,10.00,0.00
echo_single_en,135,150,10.67,10.00,0.67,0.00,12.67,0.00
echo_single_en,150,150,16.67,13.33,2.00,0.00,6.67,0.00
echo_single_en,165,150,11.33,11.33,0.00,0.00,4.67,0.00
echo_single_en,180,150,6.67,6.67,0.00,0.00,2.67,0.00
echo_single_en,195,150,0.67,0.67,0.00,0.00,1.33,0.00
echo_single_en,210,150,0.67,0.67,0.00,0.00,0.00,0.00
echo_single_en,225,150,0.67,0.67,0.00,0.00,0.67,0.00
echo_single_en,240,150,0.00,0.00,0.00,0.00,0.67,0.00
echo_single_en,255,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_single_en,270,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_single_en,285,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_single_en,300,150,1.33,1.33,0.00,0.00,1.33,0.00
echo_single_en,315,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_single_en,330,150,0.67,0.00,0.67,0.00,0.00,0.00
echo_single_en,345,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_one_en,baseline,150,1.33,0.00,1.33,0.00,0.00,0.00
echo_one_en,0,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_one_en,15,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_one_en,30,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_one_en,45,150,0.00,0.00,0.00,0.00,0.67,0.00
echo_one_en,60,150,0.00,0.00,0.00,0.00,0.67,0.00
echo_one_en,75,150,0.67,0.67,0.00,0.00,0.67,0.00
echo_one_en,90,150,1.33,1.33,0.00,0.00,0.00,0.00
echo_one_en,105,150,1.33,1.33,0.00,0.00,2.67,0.00
echo_one_en,120,150,7.33,6.67,0.67,0.00,6.67,0.00
echo_one_en,135,150,10.67,10.67,0.67,0.00,11.33,0.00
echo_one_en,150,150,8.67,8.00,0.67,0.00,6.67,0.00
echo_one_en,165,150,8.67,7.33,0.67,0.00,3.33,0.00
echo_one_en,180,150,7.33,6.00,0.00,0.00,4.00,0.00
echo_one_en,195,150,0.67,0.67,0.00,0.00,0.67,0.00
echo_one_en,210,150,2.67,2.67,0.00,0.00,2.00,0.00
echo_one_en,225,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_one_en,240,150,0.67,0.67,0.00,0.00,0.00,0.00
echo_one_en,255,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_one_en,270,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_one_en,285,150,0.67,0.00,0.67,0.00,0.00,0.00
echo_one_en,300,150,1.33,0.67,0.67,0.00,0.67,0.00
echo_one_en,315,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_one_en,330,150,0.67,0.00,0.67,0.00,0.00,0.00
echo_one_en,345,150,1.33,0.00,1.33,0.00,0.00,0.00
echo_line_en,baseline,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_line_en,0,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_line_en,15,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_line_en,30,150,0.67,0.67,0.00,0.00,0.00,0.00
echo_line_en,45,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_line_en,60,150,0.67,0.67,0.00,0.00,0.00,0.00
echo_line_en,75,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_line_en,90,150,0.00,0.00,0.00,0.00,3.33,0.00
echo_line_en,105,150,6.00,6.00,0.00,0.00,13.33,0.00
echo_line_en,120,150,9.33,9.33,0.00,0.00,13.33,0.00
echo_line_en,135,150,32.67,16.67,16.67,0.00,18.67,0.00
echo_line_en,150,150,22.67,20.00,4.67,0.00,18.00,0.00
echo_line_en,165,150,13.33,11.33,2.00,0.00,8.67,0.00
echo_line_en,180,150,12.00,10.67,0.00,0.00,6.67,0.00
echo_line_en,195,150,2.00,1.33,0.00,0.00,1.33,0.00
echo_line_en,210,150,3.33,3.33,0.00,0.00,2.67,0.00
echo_line_en,225,150,0.67,0.67,0.00,0.00,0.67,0.00
echo_line_en,240,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_line_en,255,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_line_en,270,150,0.67,0.67,0.00,0.00,0.67,0.00
echo_line_en,285,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_line_en,300,150,0.67,0.00,0.67,0.00,0.00,0.00
echo_line_en,315,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_line_en,330,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_line_en,345,150,0.67,0.00,0.67,0.00,0.00,0.00
echo_core_en,baseline,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_core_en,0,150,0.67,0.00,0.67,0.00,0.00,0.00
echo_core_en,15,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_core_en,30,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_core_en,45,150,0.00,0.00,0.00,0.00,0.67,0.00
echo_core_en,60,150,0.00,0.00,0.00,0.00,0.67,0.00
echo_core_en,75,150,4.00,3.33,0.67,0.00,3.33,0.00
echo_core_en,90,150,2.67,2.67,0.00,0.00,6.67,0.00
echo_core_en,105,150,3.33,3.33,0.00,0.00,6.67,0.00
echo_core_en,120,150,6.00,6.00,0.00,0.00,16.67,0.00
echo_core_en,135,150,19.33,18.00,1.33,0.00,21.33,0.00
echo_core_en,150,150,17.33,14.67,4.00,0.00,12.00,0.00
echo_core_en,165,150,14.67,12.67,1.33,0.00,8.00,0.00
echo_core_en,180,150,6.00,6.00,0.00,0.00,2.67,0.00
echo_core_en,195,150,4.67,4.67,0.00,0.00,0.67,0.00
echo_core_en,210,150,0.67,0.67,0.00,0.00,0.67,0.00
echo_core_en,225,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_core_en,240,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_core_en,255,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_core_en,270,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_core_en,285,150,1.33,0.67,0.67,0.00,0.67,0.00
echo_core_en,300,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_core_en,315,150,0.67,0.00,0.67,0.00,0.00,0.00
echo_core_en,330,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_core_en,345,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_line_en,baseline,150,2.00,1.33,0.67,0.00,0.00,0.00
similar_line_en,0,150,1.33,1.33,0.00,0.00,0.00,0.00
similar_line_en,15,150,0.67,0.67,0.00,0.00,0.00,0.00
similar_line_en,30,150,1.33,1.33,0.00,0.00,0.00,0.00
similar_line_en,45,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_line_en,60,150,4.67,4.67,0.00,0.00,2.67,0.00
similar_line_en,75,150,4.67,4.67,0.00,0.00,4.00,0.00
similar_line_en,90,150,4.00,4.00,0.00,0.00,7.33,0.00
similar_line_en,105,150,6.00,5.33,0.67,0.00,8.00,0.00
similar_line_en,120,150,11.33,11.33,0.00,0.00,18.00,0.00
similar_line_en,135,150,23.33,18.67,5.33,0.00,16.00,0.00
similar_line_en,150,150,15.33,14.67,0.00,0.00,11.33,0.00
similar_line_en,165,150,25.33,23.33,0.67,0.00,16.00,0.00
similar_line_en,180,150,18.67,18.00,0.00,0.00,6.67,0.00
similar_line_en,195,150,4.00,3.33,0.00,0.00,4.00,0.00
similar_line_en,210,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_line_en,225,150,1.33,1.33,0.00,0.00,1.33,0.00
similar_line_en,240,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_line_en,255,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_line_en,270,150,0.67,0.67,0.00,0.00,0.00,0.00
similar_line_en,285,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_line_en,300,150,1.33,0.00,1.33,0.00,0.00,0.00
similar_line_en,315,150,1.33,0.67,0.67,0.00,0.00,0.00
similar_line_en,330,150,1.33,1.33,0.00,0.00,0.00,0.00
similar_line_en,345,150,2.00,2.00,0.00,0.00,0.00,0.00
echo_meaning_en,baseline,150,0.67,0.67,0.00,0.00,0.00,0.00
echo_meaning_en,0,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_meaning_en,15,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_meaning_en,30,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_meaning_en,45,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_meaning_en,60,150,0.67,0.67,0.00,0.00,0.00,0.00
echo_meaning_en,75,150,0.67,0.00,0.67,0.00,0.67,0.00
echo_meaning_en,90,150,1.33,1.33,0.00,0.00,0.67,0.00
echo_meaning_en,105,150,2.67,2.00,0.67,0.00,1.33,0.00
echo_meaning_en,120,150,9.33,9.33,0.00,0.00,11.33,0.00
echo_meaning_en,135,150,10.00,10.00,0.00,0.00,12.67,0.00
echo_meaning_en,150,150,12.00,10.00,2.00,0.00,6.67,0.00
echo_meaning_en,165,150,4.67,4.67,0.00,0.00,2.00,0.00
echo_meaning_en,180,150,6.00,5.33,0.00,0.00,5.33,0.00
echo_meaning_en,195,150,2.00,2.00,0.00,0.00,2.67,0.00
echo_meaning_en,210,150,2.00,2.00,0.00,0.00,0.67,0.00
echo_meaning_en,225,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_meaning_en,240,150,0.67,0.00,0.67,0.00,0.00,0.00
echo_meaning_en,255,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_meaning_en,270,150,0.67,0.00,0.67,0.00,0.00,0.00
echo_meaning_en,285,150,0.67,0.67,0.00,0.00,0.67,0.00
echo_meaning_en,300,150,0.00,0.00,0.00,0.00,0.00,0.00
echo_meaning_en,315,150,0.00,0.00,0.00,0.00,0.67,0.00
