template,angle,n,any_primary_pct,REP_pct,CN_pct,EMPTY_pct,LOW_DIV_pct,OFFTOPIC_pct
rewrite_en_strict,baseline,150,2.00,2.00,0.00,0.00,0.00,40.67
rewrite_en_strict,0,150,4.00,4.00,0.00,0.00,1.33,38.67
rewrite_en_strict,15,150,8.00,8.00,0.00,0.00,0.00,36.00
rewrite_en_strict,30,150,9.33,9.33,0.00,0.00,2.00,34.00
rewrite_en_strict,45,150,14.67,14.67,0.00,0.00,4.67,33.33
rewrite_en_strict,60,150,41.33,41.33,0.00,0.00,11.33,47.33
rewrite_en_strict,75,150,71.33,71.33,0.00,0.00,32.67,61.33
rewrite_en_strict,90,150,76.00,76.00,0.00,0.00,32.67,74.67
rewrite_en_strict,105,150,64.00,64.00,0.00,0.00,27.33,70.67
rewrite_en_strict,120,150,64.67,64.67,0.00,0.00,35.33,70.00
rewrite_en_strict,135,150,38.67,38.67,0.00,0.00,12.67,72.00
rewrite_en_strict,150,150,16.67,16.67,0.00,0.00,2.67,69.33
rewrite_en_strict,165,150,6.00,6.00,0.00,0.00,1.33,70.67
rewrite_en_strict,180,150,6.00,2.00,4.00,0.00,0.00,74.00
rewrite_en_strict,195,150,23.33,1.33,22.00,0.00,0.00,76.00
rewrite_en_strict,210,150,40.67,2.67,38.67,0.00,0.00,78.00
rewrite_en_strict,225,150,54.00,4.67,50.67,0.00,2.00,74.67
rewrite_en_strict,240,150,42.00,2.67,39.33,0.00,2.00,73.33
rewrite_en_strict,255,150,19.33,8.00,11.33,0.00,2.00,68.00
rewrite_en_strict,270,150,2.67,2.67,0.00,0.00,1.33,60.00
rewrite_en_strict,285,150,3.33,2.67,0.67,0.00,2.00,60.00
rewrite_en_strict,300,150,3.33,3.33,0.00,0.00,1.33,60.67
rewrite_en_strict,315,150,1.33,0.67,0.67,0.00,0.00,47.33
rewrite_en_strict,330,150,3.33,3.33,0.00,0.00,1.33,40.00
rewrite_en_strict,345,150,4.00,4.00,0.00,0.00,0.67,38.00
rewrite_en_no_cn,baseline,150,0.67,0.67,0.00,0.00,0.00,16.00
rewrite_en_no_cn,0,150,4.00,2.00,2.00,0.00,0.67,12.00
rewrite_en_no_cn,15,150,2.00,2.00,0.00,0.00,0.67,14.00
rewrite_en_no_cn,30,150,8.00,6.00,2.00,0.00,1.33,16.67
rewrite_en_no_cn,45,150,20.67,20.00,0.67,0.00,4.67,15.33
rewrite_en_no_cn,60,150,54.67,54.67,0.00,0.00,14.00,22.67
rewrite_en_no_cn,75,150,76.00,76.00,0.00,0.00,37.33,48.67
rewrite_en_no_cn,90,150,78.00,78.00,0.00,0.00,39.33,64.00
rewrite_en_no_cn,105,150,78.00,78.00,0.00,0.00,36.00,58.00
rewrite_en_no_cn,120,150,57.33,57.33,0.00,0.00,31.33,66.00
rewrite_en_no_cn,135,150,34.00,34.00,0.00,0.00,18.67,67.33
rewrite_en_no_cn,150,150,5.33,5.33,0.00,0.00,0.67,72.00
rewrite_en_no_cn,165,150,2.00,2.00,0.00,0.00,0.00,65.33
rewrite_en_no_cn,180,150,0.67,0.00,0.67,0.00,0.00,65.33
rewrite_en_no_cn,195,150,30.00,2.00,28.00,0.00,0.00,56.67
rewrite_en_no_cn,210,150,48.67,2.00,48.00,0.00,0.00,60.00
rewrite_en_no_cn,225,150,54.67,4.67,50.67,0.00,1.33,54.00
rewrite_en_no_cn,240,150,45.33,4.67,41.33,0.00,1.33,48.67
rewrite_en_no_cn,255,150,16.67,2.00,15.33,0.00,0.00,38.00
rewrite_en_no_cn,270,150,3.33,2.67,0.67,0.00,0.67,39.33
rewrite_en_no_cn,285,150,3.33,2.00,1.33,0.00,0.00,32.67
rewrite_en_no_cn,300,150,5.33,3.33,2.00,0.00,2.00,27.33
rewrite_en_no_cn,315,150,2.00,1.33,0.67,0.00,0.00,16.67
rewrite_en_no_cn,330,150,2.67,1.33,1.33,0.00,0.00,16.00
rewrite_en_no_cn,345,150,2.00,2.00,0.00,0.00,0.00,11.33
rewrite_en_persona,baseline,150,6.67,6.67,0.00,0.00,0.00,46.00
rewrite_en_persona,0,150,8.67,8.67,0.00,0.00,0.00,44.67
rewrite_en_persona,15,150,10.00,10.00,0.00,0.00,0.67,46.67
rewrite_en_persona,30,150,14.00,14.00,0.00,0.00,2.67,44.67
rewrite_en_persona,45,150,26.00,25.33,0.67,0.00,4.67,40.67
rewrite_en_persona,60,150,49.33,49.33,0.00,0.00,12.67,50.67
rewrite_en_persona,75,150,72.00,72.00,0.00,0.00,24.00,75.33
rewrite_en_persona,90,150,74.67,74.67,0.00,0.00,34.67,85.33
rewrite_en_persona,105,150,69.33,69.33,0.00,0.00,36.00,74.67
rewrite_en_persona,120,150,58.00,58.00,0.00,0.00,24.00,71.33
rewrite_en_persona,135,150,36.67,36.67,0.00,0.00,9.33,70.67
rewrite_en_persona,150,150,12.67,12.67,0.00,0.00,0.67,69.33
rewrite_en_persona,165,150,4.00,3.33,0.67,0.00,0.67,67.33
rewrite_en_persona,180,150,7.33,2.67,4.67,0.00,0.00,72.00
rewrite_en_persona,195,150,60.67,0.67,60.00,0.00,0.00,58.00
rewrite_en_persona,210,150,56.67,0.00,56.67,0.00,0.00,74.67
rewrite_en_persona,225,150,64.67,2.00,62.67,0.00,0.00,80.00
rewrite_en_persona,240,150,42.67,5.33,38.00,0.00,2.67,70.00
