template,angle,n,any_primary_pct,REP_pct,CN_pct,EMPTY_pct,LOW_DIV_pct,OFFTOPIC_pct
rewrite,baseline,150,5.33,4.67,0.67,0.00,0.67,60.67
rewrite,0,150,4.00,4.00,0.00,0.00,0.67,56.00
rewrite,15,150,4.00,4.00,0.00,0.00,0.67,55.33
rewrite,30,150,2.67,2.67,0.00,0.00,0.00,53.33
rewrite,45,150,4.00,4.00,0.00,0.00,0.67,58.00
rewrite,60,150,4.00,3.33,0.67,0.00,0.67,60.00
rewrite,75,150,3.33,3.33,0.00,0.00,0.67,52.00
rewrite,90,150,19.33,18.67,0.67,0.00,2.67,45.33
rewrite,105,150,22.00,22.00,0.00,0.00,5.33,50.00
rewrite,120,150,34.67,34.67,0.00,0.00,15.33,52.00
rewrite,135,150,31.33,27.33,4.67,0.00,20.67,70.00
rewrite,150,150,29.33,26.00,6.00,0.00,18.00,87.33
rewrite,165,150,38.67,38.67,0.00,0.00,24.67,86.67
rewrite,180,150,46.67,46.67,0.00,0.00,13.33,89.33
rewrite,195,150,30.67,30.67,0.00,0.00,9.33,91.33
rewrite,210,150,28.67,28.67,0.00,0.00,4.00,85.33
rewrite,225,150,18.67,18.67,0.00,0.00,4.67,82.67
rewrite,240,150,8.67,8.00,0.67,0.00,2.67,82.67
rewrite,255,150,3.33,2.00,1.33,0.00,0.00,82.00
rewrite,270,150,2.00,2.00,0.00,0.00,0.00,79.33
rewrite,285,150,8.00,7.33,0.67,0.00,0.00,60.00
rewrite,300,150,6.00,6.00,0.00,0.00,0.67,59.33
rewrite,315,150,7.33,7.33,0.00,0.00,0.00,54.67
rewrite,330,150,4.67,4.67,0.00,0.00,0.67,57.33
rewrite,345,150,4.00,4.00,0.00,0.00,0.67,55.33
similar_tweet_en,baseline,150,2.67,2.67,0.00,0.00,0.00,78.00
similar_tweet_en,0,150,0.67,0.67,0.00,0.00,0.00,75.33
similar_tweet_en,15,150,0.67,0.67,0.00,0.00,0.00,73.33
similar_tweet_en,30,150,0.67,0.67,0.00,0.00,0.00,74.67
similar_tweet_en,45,150,0.67,0.67,0.00,0.00,0.00,78.00
similar_tweet_en,60,150,0.00,0.00,0.00,0.00,0.00,70.67
similar_tweet_en,75,150,4.00,3.33,0.67,0.00,0.00,54.67
similar_tweet_en,90,150,26.00,26.00,0.00,0.00,2.67,21.33
similar_tweet_en,105,150,28.00,28.00,0.00,0.00,10.00,23.33
similar_tweet_en,120,150,26.67,26.00,0.67,0.00,14.00,42.00
similar_tweet_en,135,150,34.00,25.33,12.67,0.67,11.33,77.33
similar_tweet_en,150,150,25.33,22.67,4.00,0.00,14.00,86.67
similar_tweet_en,165,150,29.33,24.67,8.00,0.00,9.33,97.33
similar_tweet_en,180,150,24.00,23.33,0.67,0.00,8.00,95.33
similar_tweet_en,195,150,22.00,22.00,0.00,0.00,2.00,95.33
similar_tweet_en,210,150,5.33,5.33,0.00,0.00,1.33,96.00
similar_tweet_en,225,150,2.67,2.67,0.00,0.00,0.67,96.00
similar_tweet_en,240,150,0.67,0.00,0.67,0.00,0.00,94.00
similar_tweet_en,255,150,0.00,0.00,0.00,0.00,0.00,90.67
similar_tweet_en,270,150,0.00,0.00,0.00,0.00,0.00,82.67
similar_tweet_en,285,150,2.00,2.00,0.00,0.00,0.00,72.67
similar_tweet_en,300,150,0.00,0.00,0.00,0.00,0.00,75.33
similar_tweet_en,315,150,1.33,0.67,0.67,0.00,0.00,74.00
similar_tweet_en,330,150,2.00,0.67,1.33,0.00,0.00,74.00
similar_tweet_en,345,150,5.33,4.00,1.33,0.00,0.00,75.33
echo_en,baseline,150,0.00,0.00,0.00,0.00,0.00,44.00
echo_en,0,150,0.67,0.67,0.00,0.00,0.00,45.33
echo_en,15,150,1.33,0.67,0.67,0.00,0.00,39.33
echo_en,30,150,0.00,0.00,0.00,0.00,0.00,38.67
echo_en,45,150,0.00,0.00,0.00,0.00,0.00,39.33
echo_en,60,150,0.00,0.00,0.00,0.00,0.00,42.00
echo_en,75,150,0.00,0.00,0.00,0.00,0.00,41.33
echo_en,90,150,10.67,10.67,0.00,0.00,3.33,39.33
echo_en,105,150,4.67,4.67,0.00,0.00,2.00,39.33
echo_en,120,150,14.00,13.33,1.33,0.00,3.33,49.33
echo_en,135,150,22.67,22.67,0.00,0.00,6.67,62.67
echo_en,150,150,30.00,28.67,1.33,0.00,8.00,72.00
echo_en,165,150,26.00,26.00,0.00,0.00,10.00,84.67
echo_en,180,150,14.00,14.00,0.00,0.00,3.33,92.00
echo_en,195,150,12.67,12.67,0.00,0.00,2.00,95.33
echo_en,210,150,7.33,7.33,0.00,0.00,1.33,89.33
echo_en,225,150,3.33,3.33,0.00,0.00,0.67,94.00
echo_en,240,150,0.67,0.67,0.00,0.00,0.00,91.33
echo_en,255,150,0.67,0.67,0.00,0.00,0.67,80.67
echo_en,270,150,2.00,2.00,0.00,0.00,0.00,66.67
echo_en,285,150,2.00,2.00,0.00,0.00,0.00,60.67
echo_en,300,150,2.00,2.00,0.00,0.00,0.67,46.67
echo_en,315,150,2.00,2.00,0.00,0.00,0.67,44.67
echo_en,330,150,0.67,0.67,0.00,0.00,0.00,50.00
echo_en,345,150,0.00,0.00,0.00,0.00,0.00,44.67
