template,angle,n,any_primary_pct,REP_pct,CN_pct,EMPTY_pct,LOW_DIV_pct,OFFTOPIC_pct
restate,baseline,150,0.00,0.00,0.00,0.00,0.00,79.33
restate,0,150,2.00,2.00,0.00,0.00,0.67,77.33
restate,15,150,6.00,6.00,0.00,0.00,0.67,74.67
restate,30,150,14.67,14.67,0.00,0.00,3.33,66.67
restate,45,150,41.33,41.33,0.00,0.00,15.33,64.00
restate,60,150,66.00,66.00,0.00,0.00,32.67,68.67
restate,75,150,83.33,83.33,0.00,0.00,34.67,78.67
restate,90,150,88.67,88.67,0.00,0.00,62.67,92.67
restate,105,150,95.33,95.33,0.00,0.00,76.00,91.33
restate,120,150,86.67,86.67,0.00,0.00,59.33,94.67
restate,135,150,65.33,65.33,0.00,0.00,21.33,95.33
restate,150,150,12.67,12.00,0.67,0.00,4.67,93.33
restate,165,150,18.00,2.67,15.33,0.00,1.33,90.00
restate,180,150,93.33,0.67,92.67,0.00,0.00,98.00
restate,195,150,94.67,0.67,94.00,0.00,0.00,89.33
restate,210,150,94.67,0.67,94.67,0.00,0.67,93.33
restate,225,150,98.00,0.00,98.00,0.00,0.00,92.67
restate,240,150,98.67,0.00,98.67,0.00,0.00,81.33
restate,255,150,83.33,0.67,83.33,0.00,0.00,84.00
restate,270,150,10.67,4.00,6.67,0.00,0.00,84.67
restate,285,150,1.33,0.67,0.67,0.00,0.00,82.00
restate,300,150,0.67,0.67,0.00,0.00,0.00,80.67
restate,315,150,3.33,2.67,0.67,0.00,0.67,76.00
restate,330,150,2.00,2.00,0.00,0.00,0.00,72.67
restate,345,150,2.00,2.00,0.00,0.00,0.00,72.00
rewrite,baseline,150,2.67,2.67,0.00,0.00,0.00,60.00
rewrite,0,150,5.33,5.33,0.00,0.00,0.00,60.00
rewrite,15,150,5.33,5.33,0.00,0.00,0.00,61.33
rewrite,30,150,8.00,8.00,0.00,0.00,1.33,57.33
rewrite,45,150,21.33,20.67,0.67,0.00,2.00,60.00
rewrite,60,150,45.33,45.33,0.00,0.00,14.67,64.00
rewrite,75,150,62.67,62.67,0.00,0.00,18.67,74.00
rewrite,90,150,70.00,70.00,0.00,0.00,33.33,93.33
rewrite,105,150,62.00,62.00,0.00,0.00,26.67,88.00
