template,angle,n,any_primary_pct,REP_pct,CN_pct,EMPTY_pct,LOW_DIV_pct,OFFTOPIC_pct
rewrite_en,baseline,150,0.67,0.67,0.00,0.00,0.00,72.00
rewrite_en,0,150,0.67,0.67,0.00,0.00,0.00,56.67
rewrite_en,15,150,0.67,0.67,0.00,0.00,0.67,59.33
rewrite_en,30,150,6.00,6.00,0.00,0.00,0.67,62.00
rewrite_en,45,150,20.00,20.00,0.00,0.00,1.33,52.00
rewrite_en,60,150,43.33,43.33,0.00,0.00,12.67,56.67
rewrite_en,75,150,65.33,65.33,0.00,0.00,16.67,74.00
rewrite_en,90,150,72.67,72.67,0.00,0.00,34.67,81.33
rewrite_en,105,150,58.67,58.00,0.67,0.00,28.00,81.33
rewrite_en,120,150,43.33,43.33,0.00,0.00,16.00,78.67
rewrite_en,135,150,14.67,14.67,0.00,0.00,2.00,79.33
rewrite_en,150,150,8.67,8.67,0.00,0.00,2.00,73.33
rewrite_en,165,150,3.33,3.33,0.00,0.00,0.00,82.00
rewrite_en,180,150,15.33,1.33,14.00,0.00,0.00,76.67
rewrite_en,195,150,67.33,0.00,67.33,0.00,0.00,76.00
rewrite_en,210,150,76.67,0.00,76.67,0.00,0.00,82.67
rewrite_en,225,150,84.67,0.67,84.67,0.00,0.67,75.33
rewrite_en,240,150,66.67,0.67,66.00,0.00,0.00,76.67
rewrite_en,255,150,18.67,2.67,16.00,0.00,2.00,74.00
rewrite_en,270,150,4.67,4.00,0.67,0.00,3.33,74.00
rewrite_en,285,150,3.33,3.33,0.00,0.00,0.67,72.00
rewrite_en,300,150,3.33,3.33,0.00,0.00,2.67,65.33
rewrite_en,315,150,4.67,4.67,0.00,0.00,1.33,69.33
rewrite_en,330,150,3.33,3.33,0.00,0.00,2.00,62.67
rewrite_en,345,150,4.00,3.33,0.67,0.00,2.00,58.00
rewrite_en_strict,baseline,150,2.00,2.00,0.00,0.00,0.00,42.67
rewrite_en_strict,0,150,4.00,4.00,0.00,0.00,1.33,38.67
rewrite_en_strict,15,150,5.33,5.33,0.00,0.00,0.00,35.33
rewrite_en_strict,30,150,9.33,9.33,0.00,0.00,2.00,34.00
rewrite_en_strict,45,150,15.33,15.33,0.00,0.00,4.67,34.00
rewrite_en_strict,60,150,42.00,42.00,0.00,0.00,11.33,47.33
rewrite_en_strict,75,150,68.67,68.67,0.00,0.00,28.00,61.33
rewrite_en_strict,90,150,76.67,76.67,0.00,0.00,34.67,74.00
rewrite_en_strict,105,150,70.67,70.67,0.00,0.00,30.00,72.00
rewrite_en_strict,120,150,66.00,66.00,0.00,0.00,35.33,70.00
rewrite_en_strict,135,150,38.67,38.67,0.00,0.00,12.67,72.00
rewrite_en_strict,150,150,13.33,13.33,0.00,0.00,2.67,72.00
rewrite_en_strict,165,150,4.67,4.67,0.00,0.00,0.00,72.00
rewrite_en_strict,180,150,6.00,2.00,4.00,0.00,0.00,74.67
rewrite_en_strict,195,150,23.33,1.33,22.00,0.00,0.00,75.33
rewrite_en_strict,210,150,41.33,2.67,39.33,0.00,0.00,77.33
rewrite_en_strict,225,150,53.33,5.33,48.67,0.00,2.67,72.00
rewrite_en_strict,240,150,46.00,4.00,42.00,0.00,2.00,74.00
rewrite_en_strict,255,150,16.00,6.00,10.00,0.00,2.00,66.00
rewrite_en_strict,270,150,6.00,5.33,0.67,0.00,1.33,64.67
rewrite_en_strict,285,150,3.33,2.67,0.67,0.00,1.33,58.67
rewrite_en_strict,300,150,2.67,2.67,0.00,0.00,0.67,58.00
rewrite_en_strict,315,150,1.33,1.33,0.00,0.00,0.67,44.00
rewrite_en_strict,330,150,4.67,4.67,0.00,0.00,1.33,38.00
rewrite_en_strict,345,150,5.33,5.33,0.00,0.00,2.67,38.67
rewrite_en_continued,baseline,150,4.67,4.67,0.00,0.00,0.00,56.00
rewrite_en_continued,0,150,16.00,16.00,0.00,0.00,0.67,39.33
